# of Units,Incident Alarm Time,Problem Type,Location,Location Type
1,01/01/2018 3:33:19,"Medical assist, assist EMS crew",1850  Aquarena Springs DR ,Multifamily dwellings
0,01/01/2018 3:59:09,"EMS call, excluding vehicle accident with injury",1307  Uhland RD ,"Jail, prison (not juvenile)"
0,01/01/2018 4:48:52,Assist police or other governmental agency,204  Sb35 IH ,Highway or divided highway
2,01/01/2018 5:07:48,No incident found on arrival at dispatch address,1610 N IH 35  ,Multifamily dwellings
2,01/01/2018 6:03:12,No incident found on arrival at dispatch address,1610 N IH 35  ,Multifamily dwellings
2,01/01/2018 14:13:02,Smoke detector activation due to malfunction,1850  Aquarena Springs DR ,Multifamily dwellings
2,01/01/2018 18:49:47,Building fire,501 W Center ST ,1 or 2 family dwelling
1,01/01/2018 21:49:55,"EMS call, excluding vehicle accident with injury",306  Durango ST ,1 or 2 family dwelling
1,01/01/2018 22:30:43,"EMS call, excluding vehicle accident with injury",338 S Guadalupe ST ,Bus station
2,01/01/2018 23:52:17,"Good intent call, other",201  Telluride ST ,1 or 2 family dwelling
2,01/02/2018 0:35:39,"Good intent call, other",1980  Aquarena Springs DR ,Multifamily dwellings
1,01/02/2018 0:39:12,"Medical assist, assist EMS crew",1011  Wonder World DR ,Multifamily dwellings
2,01/02/2018 0:41:39,Vehicle accident with injuries,204  Sb35 IH ,Highway or divided highway
2,01/02/2018 6:12:26,"Alarm system sounded, no fire - unintentional",2601  Rattler RD ,High school/junior high school/middle school
1,01/02/2018 11:04:52,Gas leak (natural gas or LPG),  Uhland RD ,Vacant lot
2,01/02/2018 11:15:42,"Outside rubbish fire, other",  Craddock AVE ,Highway or divided highway
1,01/02/2018 11:23:00,"Medical assist, assist EMS crew",1580  Old Ranch Road 12  ,Highway or divided highway
4,01/02/2018 13:23:47,Grass fire,2601  Rattler RD ,Highway or divided highway
6,01/02/2018 19:55:24,Building fire - Residential,650  River RD ,Multifamily dwellings
1,01/02/2018 22:29:35,"Detector activation, no fire - unintentional",1305 S IH 35  ,Restaurant or cafeteria
1,01/03/2018 0:25:21,"EMS call, excluding vehicle accident with injury",2113  River RD ,1 or 2 family dwelling
1,01/03/2018 6:42:30,Motor vehicle/pedestrian accident (MV Ped),  Robbie LN ,Street or road in commercial area
1,01/03/2018 12:23:57,"EMS call, excluding vehicle accident with injury",1951  Aquarena Springs DR ,Multifamily dwellings
3,01/03/2018 12:50:00,"Sprinkler activation, no fire - unintentional",2211 S IH 35  ,Department or discount store
3,01/03/2018 14:39:51,Aircraft standby,1807  Airport DR ,Aircraft runway
2,01/03/2018 15:03:05,"Sprinkler activation, no fire - unintentional",1701  Mill ST ,Clubhouse
0,01/03/2018 15:30:54,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,01/03/2018 16:45:32,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
2,01/03/2018 17:40:53,Assist police or other governmental agency,206  NB  ,Highway or divided highway
1,01/03/2018 18:59:48,"Medical assist, assist EMS crew",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
1,01/03/2018 19:50:11,"EMS call, excluding vehicle accident with injury",1702 S IH 35  ,Bar or nightclub
1,01/04/2018 3:30:20,"Medical assist, assist EMS crew",734  Valley ST ,1 or 2 family dwelling
1,01/04/2018 3:45:20,"Smoke scare, odor of smoke",231  Teron DR ,1 or 2 family dwelling
1,01/04/2018 8:14:23,"EMS call, excluding vehicle accident with injury",1941 S IH 35  ,"Doctor, dentist or oral surgeon's office"
1,01/04/2018 9:15:27,"Medical assist, assist EMS crew",100  Warden LN ,Multifamily dwellings
1,01/04/2018 9:41:29,"EMS call, excluding vehicle accident with injury",1307  Uhland RD ,"Jail, prison (not juvenile)"
1,01/04/2018 9:56:17,"EMS call, excluding vehicle accident with injury",1200 N Bishop ST ,"Clinics, Doctors offices, hemodialysis centers"
1,01/04/2018 10:04:36,"Unintentional transmission of alarm, other",180  Springtown WAY ,"Mercantile, business, other"
1,01/04/2018 12:29:30,"Person in distress, other",613  Dartmouth AVE ,Multifamily dwellings
1,01/04/2018 13:18:57,"EMS call, excluding vehicle accident with injury",4015 S IH 35  ,"General retail, other"
1,01/04/2018 13:53:29,Hazmat release investigation w/ no hazmat,111 E San Antonio ST ,Street or road in commercial area
1,01/04/2018 14:22:12,Hazmat release investigation w/ no hazmat,1100  Belvin ST ,"Residential street, road or residential driveway"
1,01/04/2018 15:27:56,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,01/04/2018 18:19:26,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,Department or discount store
6,01/05/2018 0:35:00,"Smoke scare, odor of smoke",1640  Aquarena Springs DR ,Multifamily dwellings
