Incident Number,Date,Time,Address,Incident Type,Completed,Reviewed
0000001 - 000,1/1/19,0:41:30,1113 San Marcos Pkwy ,154 - Dumpster or other outside trash receptacle fire,Yes,Yes
0000002 - 000,1/1/19,1:34:31,1701 Mill St  # 28105 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000003 - 000,1/1/19,1:58:12,Hwy 123 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000004 - 000,1/1/19,2:27:24,141 E Hopkins St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000005 - 000,1/1/19,5:43:00,737 Gravel St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000006 - 000,1/1/19,17:36:30,2600 Hunter Rd  # 3212 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000007 - 000,1/1/19,18:25:25,1610 N IH 35  # 233 ,733 - Smoke detector activation due to malfunction,Yes,Yes
0000008 - 000,1/1/19,19:19:27,105 N IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000009 - 000,1/1/19,20:24:08,2600 Hunter Rd  # 3302 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000010 - 000,1/2/19,4:39:06,1611 Clovis Barker Rd ,735 - Alarm system sounded due to malfunction,Yes,Yes
0000011 - 000,1/2/19,4:43:01,2131 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000012 - 000,1/2/19,7:07:24,1351 Sadler Dr  # 508 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000013 - 000,1/2/19,8:59:24,102 Oak Ridge Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000014 - 000,1/2/19,9:29:16,2211 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000015 - 000,1/2/19,9:43:23,1321 N IH 35  # 152 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000016 - 000,1/2/19,11:04:43,1340 Wonder World Dr  # 4100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000017 - 000,1/2/19,12:18:10,1350 S Old Bastrop Hwy ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000018 - 000,1/2/19,13:20:58,210 SB ,611 - Dispatched & cancelled en route,Yes,Yes
0000019 - 000,1/2/19,13:46:58,On Thorpe Ln  at Aquarena Springs Dr,324 - Motor vehicle accident with no injuries,Yes,Yes
0000020 - 000,1/2/19,14:18:12,1200 N Bishop St  # 100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000021 - 000,1/2/19,14:21:08,1348 Thorpe Ln  # 604 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
