Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
180000000001,Mon Jan 01 00:02:54 CST 2018,Fireworks,Unfounded,"Cormier, Claudia",100blk Backhorn Ln
180000000002,Mon Jan 01 00:03:27 CST 2018,Fireworks,Unfounded,"Cormier, Claudia",345 Champions Blvd
180000000003,Mon Jan 01 00:04:28 CST 2018,Fireworks,No Report,"Williams, Tiffany",1100blk Lago Vista
180000000004,Mon Jan 01 00:06:42 CST 2018,Disturbance - Phys/Fight,Citation Issued,"Wooten, Christopher",139 E Hopkins St
180000000005,Mon Jan 01 00:07:57 CST 2018,Fireworks,Unfounded,"Wooten, Christopher",503 Uhland Rd
180000000007,Mon Jan 01 00:13:30 CST 2018,Fireworks,Unfounded,"Putnam, Justin",1400blk Harper Dr
180000000011,Mon Jan 01 00:31:39 CST 2018,Criminal Mischief,Refer To COPR,"Davidson, Travis",650 E Hopkins St
180000000012,Mon Jan 01 00:33:43 CST 2018,Attempt to Locate,No Report,,W Access Rd/S Guadalupe St
180000000015,Mon Jan 01 00:38:54 CST 2018,Welfare Concern,No Report,"Wisener, Andrew",1400 Clarewood Dr
180000000016,Mon Jan 01 00:46:59 CST 2018,Attempt to Locate,No Contact,"Gonzales, Gavin",W Hutchison St/Blanco St
180000000017,Mon Jan 01 00:49:04 CST 2018,Disturbance - Phys/Fight,No Report,"Wooten, Christopher",903 N IH 35
180000000019,Mon Jan 01 01:01:00 CST 2018,Disturbance - Verbal,No Report,"Gonzales, Gavin",2577 Deer Stand Lp
180000000020,Mon Jan 01 01:03:08 CST 2018,Disturbance - Verbal,No Report,,317 Craddock Ave
180000000027,Mon Jan 01 01:05:36 CST 2018,Welfare Concern,No Contact,"Putnam, Justin",401 N Fredericksburg St
180000000022,Mon Jan 01 01:10:43 CST 2018,Welfare Concern,No Report,"Wooten, Christopher",Hwy 123/Old Bastrop Hwy
180000000025,Mon Jan 01 01:30:32 CST 2018,Disturbance - Verbal,No Report,"Cyrus, Lance",1307 Brown St
180000000028,Mon Jan 01 01:35:19 CST 2018,Foot Patrol,No Report,"Wooten, Christopher",W San Antonio St/Guadalupe St
180000000029,Mon Jan 01 01:51:35 CST 2018,Disturbance - Phys/Fight,No Report,"Wooten, Christopher",138 N LBJ Dr
180000000030,Mon Jan 01 01:51:43 CST 2018,Disturbance - Phys/Fight,Ignore,,138 N LBJ Dr
180000000032,Mon Jan 01 02:02:37 CST 2018,Attempt to Locate,No Report,,206 NB
180000000035,Mon Jan 01 02:07:19 CST 2018,Assault,No Report,"Seals, Bradley",138 N LBJ Dr
180000000036,Mon Jan 01 02:16:52 CST 2018,Disturbance - Verbal,Unfounded,"Putnam, Justin",124 N LBJ Dr
180000000038,Mon Jan 01 02:21:09 CST 2018,Threat,Report,"Gonzales, Gavin",2300 S IH 35
180000000039,Mon Jan 01 02:21:17 CST 2018,Assault,Report,"Wooten, Christopher",126 S Guadalupe St
180000000040,Mon Jan 01 02:23:11 CST 2018,Disturbance - Verbal,No Report,"Gonzales, Gavin",336 W Hopkins St
180000000041,Mon Jan 01 02:31:20 CST 2018,Recovered Stolen Vehicle,No Report,"Sarver, Stephen",200 N IH 35
180000000045,Mon Jan 01 03:00:49 CST 2018,Accident - Unknown,No Report,"Putnam, Justin",210 NB
180000000046,Mon Jan 01 03:17:23 CST 2018,Disturbance - Verbal,No Report,"Royal, GeCorrie",1111 Avalon Ave
180000000048,Mon Jan 01 03:31:48 CST 2018,Disturbance - Noise,Unfounded,"Putnam, Justin",1701 Mill St
180000000049,Mon Jan 01 03:42:32 CST 2018,Disturbance - Noise,Unfounded,"Gonzales, Gavin",536 W Hopkins St
180000000053,Mon Jan 01 04:08:46 CST 2018,Suspicious Vehicle,No Report,"Wood, John",E Access Rd/Blanco River
180000000054,Mon Jan 01 04:09:31 CST 2018,Disturbance - Noise,No Report,"Cyrus, Lance",536 W Hopkins St
180000000055,Mon Jan 01 04:18:36 CST 2018,Supplement,No Report,"Putnam, Justin",1301 Wonder World Dr
180000000058,Mon Jan 01 04:31:38 CST 2018,Disturbance - Noise,Verbal Warning,"Davidson, Travis",1109 San Marcos Pkwy
180000000060,Mon Jan 01 05:01:27 CST 2018,Suspicious Circumstances,Arrest,"Gonzales, Gavin",617 W Hopkins St
180000000061,Mon Jan 01 05:02:52 CST 2018,Information,No Report,,2300 S IH 35
180000000062,Mon Jan 01 05:11:08 CST 2018,Suspicious Vehicle,No Report,"Gonzales, Gavin",1011 N IH 35
180000000063,Mon Jan 01 05:34:54 CST 2018,Suspicious Person,Arrest,"Gonzales, Gavin",125 Elm Hill Ct
180000000065,Mon Jan 01 05:58:33 CST 2018,Trespassing/Unwanted,No Report,"Arredondo, Danny",1250 N IH 35
