"","Incident_Nr","TimeReported","Activity","Disposition","Officer","Location"
"1",200000000001,"1/1/2020  12:00:29 AM","Fireworks","Verbal Warning","McGee, Miranda","1951 Hunter Rd"
"2",200000000002,"1/1/2020  12:00:57 AM","Discharged Firearm","Verbal Warning","Murphy, Logan","1100 Conway Dr"
"3",200000000004,"1/1/2020  12:01:05 AM","Fireworks","No Report","","200blk Silo St"
"4",200000000005,"1/1/2020  12:03:04 AM","Fireworks","No Report","Mueller, Justin","400blk Heart Ridge"
"5",200000000007,"1/1/2020  12:06:07 AM","Fireworks","Verbal Warning","Murphy, Logan","114 Linden Ln"
"6",200000000008,"1/1/2020  12:08:08 AM","Fireworks","No Report","Bennett, Caitlyn","1800 Post Rd"
"7",200000000009,"1/1/2020  12:10:03 AM","Fireworks","No Report","Mueller, Justin","1117 San Marcos Pkwy"
"8",200000000010,"1/1/2020  12:12:29 AM","Fireworks","No Report","Royal, GeCorrie","Stonehaven/Meadow View Dr"
"9",200000000011,"1/1/2020  12:13:30 AM","Fireworks","No Report","Mueller, Justin","1109 San Marcos Pkwy"
"10",200000000013,"1/1/2020  12:13:46 AM","Fireworks","Unfounded","Blackwood, Kevin","1451 Sadler Dr"
"11",200000000014,"1/1/2020  12:14:00 AM","Assist Outside Agency","No Report","Verver, Elias","419 Linda Dr"
"12",200000000015,"1/1/2020  12:14:16 AM","Fireworks","Verbal Warning","Bennett, Caitlyn","Pisano Dr/Lookout Ridge Rd"
"13",200000000017,"1/1/2020  12:18:58 AM","Fireworks","Unfounded","Verver, Elias","1011 Wonder World Dr"
"14",200000000019,"1/1/2020  12:39:29 AM","Fireworks","No Report","Bennett, Caitlyn","1111 Avalon Ave"
"15",200000000026,"1/1/2020  1:06:12 AM","Disturbance - Noise","Verbal Warning","Alvarado, Manuel","1002 N Bishop St"
"16",200000000027,"1/1/2020  1:09:20 AM","Disturbance - Phys/Fight","No Report","Morenz, Darby","204 Moore St"
"17",200000000030,"1/1/2020  1:16:25 AM","Fireworks","No Report","Murphy, Logan","1310 River Rd"
"18",200000000031,"1/1/2020  1:21:31 AM","Disturbance - Verbal","Arrest","Blackwood, Kevin","1350 S Old Bastrop Hwy"
"19",200000000032,"1/1/2020  1:23:26 AM","Foot Patrol","No Report","Daenzer, Matthew","W San Antonio St/Guadalupe St"
"20",200000000036,"1/1/2020  1:41:16 AM","Attempt to Locate","No Report","Murphy, Logan","360blk S LBJ Dr"
"21",200000000038,"1/1/2020  1:43:29 AM","Attempt to Locate","Arrest","Morenz, Darby","300blk W MLK Dr"
"22",200000000042,"1/1/2020  1:47:27 AM","Fireworks","No Report","Wisener, Andrew","Candlelight Ln/Broadway St"
"23",200000000043,"1/1/2020  1:49:52 AM","Welfare Concern","No Report","Hartman, Ryan","202 N LBJ Dr"
"24",200000000046,"1/1/2020  2:05:55 AM","Investigation","No Report","Blackwood, Kevin","177 Cazador Dr"
"25",200000000047,"1/1/2020  2:12:26 AM","Suspicious Vehicle","No Report","Tureaud, Benjamin","1207 N IH 35"
"26",200000000049,"1/1/2020  2:15:49 AM","Pedestrian Stop","No Report","Mueller, Justin","200blk W Hopkins St"
